iter, logposterior
0, -14437.063944999998
1, -14437.063944999998
2, -14437.478087000001
3, -14436.967175
4, -14436.597228
5, -14496.170804
6, -14490.250431
7, -14490.369118
8, -14449.911458
9, -14451.080274000002
10, -14464.317568
11, -14473.582116
12, -14476.692742
13, -14476.988167
14, -14475.512897999999
15, -14433.109132
16, -14432.755112
17, -14395.035516999998
18, -14427.39059
19, -14501.398052
20, -14484.24084
21, -14482.565986000001
22, -14482.222021000001
23, -14483.131382
24, -14469.531640000001
25, -14429.569681
26, -14525.834093000001
27, -14395.519128
28, -14420.392349000002
29, -14310.196903
30, -14310.938671000002
31, -14311.284849000001
32, -14311.234486000001
33, -14382.745313999998
34, -14367.265906999999
35, -14344.302819
36, -14342.98135
37, -14335.6622
38, -14336.446683000002
39, -14229.655663999998
40, -14370.222344999998
41, -14370.846296000002
42, -14371.360794999999
43, -14370.664786000001
44, -14252.974707
45, -14351.871444
46, -14353.181347
47, -14352.686842
48, -14352.656644
49, -14351.744822999999
50, -14399.070261
51, -14402.673707
52, -14289.428612
53, -14315.785283000001
54, -14315.680140999999
55, -14315.445925
56, -14315.445925
57, -14316.944580000001
58, -14375.435015000001
59, -14427.257440000001
60, -14382.914388999998
61, -14435.586155
62, -14435.299497999998
63, -14435.121236
64, -14434.997878999999
65, -14435.727059
66, -14409.947090000001
67, -14378.203315
68, -14376.870893000001
69, -14376.909327000001
70, -14377.507878
71, -14377.100377
72, -14387.530191999998
73, -14386.799679
74, -14303.931653
75, -14438.049793
76, -14453.406608000001
77, -14464.094524
78, -14445.139308000002
79, -14342.540316999999
80, -14356.5448
81, -14356.054709
82, -14342.057353
83, -14342.395891
84, -14352.052366999998
85, -14324.881704
86, -14353.881658000002
87, -14409.591766999998
88, -14409.524930000001
89, -14394.652947999999
90, -14396.054907
91, -14395.997644
92, -14322.437061
93, -14353.623338999998
94, -14362.520756
95, -14381.110749000001
96, -14396.102335
97, -14369.44395
98, -14368.586687
99, -14383.375322
100, -14383.544162
101, -14416.881749
102, -14469.553253
103, -14445.388933000002
104, -14447.417257
105, -14384.414999
106, -14383.182680000002
107, -14383.220565000001
108, -14348.946428
109, -14349.293722999999
110, -14349.765337
111, -14341.504152000001
112, -14400.616828999999
113, -14396.212350999998
114, -14412.056331
115, -14399.070182
116, -14398.886229
117, -14442.435629
118, -14442.459718
119, -14363.265121
120, -14345.790946000001
121, -14346.16769
122, -14365.065077000001
123, -14392.885822999999
124, -14392.692185
125, -14363.606166
126, -14370.826188
127, -14354.291116999999
128, -14374.704923
129, -14393.053972999998
130, -14393.089675
131, -14430.012256999998
132, -14454.725372
133, -14431.397916
134, -14417.009551
135, -14388.173528
136, -14383.290582
137, -14383.219823
138, -14416.677663
139, -14400.898525
140, -14367.201327
141, -14367.304172
142, -14367.365056999999
143, -14416.647127
144, -14416.365461000001
145, -14382.044641999999
146, -14411.623247
147, -14453.487593
148, -14471.934748
149, -14493.264441
150, -14494.270598
151, -14467.818493
152, -14424.879175999999
153, -14425.585509999999
154, -14425.543537000001
155, -14427.02551
156, -14443.149403
157, -14426.599849
158, -14472.187055
159, -14423.793209
160, -14422.841077000001
161, -14422.646515999999
162, -14422.751878000001
163, -14433.686601
164, -14345.398824000002
165, -14389.177554
166, -14369.998224
167, -14369.961780000001
168, -14355.400631
169, -14351.519344
170, -14326.890779
171, -14327.313737999999
172, -14327.313737999999
173, -14368.44633
174, -14455.391854
175, -14378.777577
176, -14456.047964
177, -14372.292643
178, -14372.415309999998
179, -14358.967158000001
180, -14343.977896
181, -14315.402804
182, -14339.859229
183, -14356.500156
184, -14375.920923
185, -14356.465224000001
186, -14347.696231
187, -14365.216038999999
188, -14422.417641999999
189, -14442.018546000001
190, -14422.682928
191, -14422.682928
192, -14422.95989
193, -14512.629253000001
194, -14443.021316
195, -14443.612109
196, -14431.414793
197, -14326.906475
198, -14346.616437
199, -14305.474051
200, -14304.501559
201, -14284.942155
202, -14297.019158000001
203, -14295.902369999998
204, -14418.153743
205, -14390.193388
206, -14360.275353
207, -14340.492835
208, -14430.352968000001
209, -14430.447612
210, -14429.920043
211, -14430.352576
212, -14338.804182
213, -14339.801953999999
214, -14344.783102000001
215, -14353.814344
216, -14354.642544
217, -14293.993252
218, -14396.213625999999
219, -14397.212355000001
220, -14397.280074
221, -14367.539268999999
222, -14367.427341999999
223, -14289.805366999999
224, -14278.747172
225, -14364.812891999998
226, -14409.723156999999
227, -14394.943227000002
228, -14381.064567
229, -14364.490532
230, -14364.101539
231, -14400.981449
232, -14397.07574
233, -14397.110491999998
234, -14397.855601
235, -14381.370258
236, -14354.382512999999
237, -14350.934871000001
238, -14349.973272
239, -14321.687209
240, -14321.687209
241, -14321.768756
242, -14249.818956000001
243, -14261.225830000001
244, -14298.150850999999
245, -14357.280102
246, -14358.887969999998
247, -14358.802832
248, -14358.024427
249, -14358.593924
250, -14330.703609999999
251, -14295.258115999999
252, -14353.854594
253, -14367.131291999998
254, -14367.438096000002
255, -14349.127183
256, -14348.892474
257, -14410.531009
258, -14412.725731999999
259, -14412.6384
260, -14426.560147999999
261, -14442.258193000001
262, -14320.617205
263, -14344.483856
264, -14426.362041
265, -14438.504298
266, -14329.419713
267, -14421.830668
268, -14528.082656
269, -14456.703747999998
270, -14417.267722999999
271, -14416.888258
272, -14392.469519999999
273, -14392.595141999998
274, -14392.885416
275, -14392.511899000001
276, -14392.688471000001
277, -14441.017466999998
278, -14351.731502
279, -14344.283427
280, -14441.274234999999
281, -14381.516633000001
282, -14381.785204
283, -14414.769783000002
284, -14329.681373
285, -14385.235518000001
286, -14361.483571
287, -14368.15024
288, -14368.520690000001
289, -14368.405094999998
290, -14408.417368999999
291, -14425.71275
292, -14426.848472
293, -14384.053065
294, -14382.454729
295, -14346.690932
296, -14347.145847
297, -14345.990181000001
298, -14346.545192
299, -14348.862222
300, -14348.753
301, -14373.921047
302, -14382.648329
303, -14386.995566999998
304, -14322.858654
305, -14382.201728999999
306, -14445.964328
307, -14350.537080000002
308, -14384.838706
309, -14383.822717
310, -14345.780571000001
311, -14345.737475999998
312, -14383.701993
313, -14384.109553999999
314, -14380.932258
315, -14381.490219
316, -14372.940247999999
317, -14409.479054
318, -14409.009832
319, -14380.277225
320, -14381.007481
321, -14340.920131
322, -14342.130022
323, -14399.038094999998
324, -14410.276021000001
325, -14410.225344999999
326, -14409.744712
327, -14377.437824
328, -14378.273786000002
329, -14394.123488999998
330, -14412.491337000001
331, -14361.404147
332, -14361.581156999999
333, -14351.555472999999
334, -14404.506556999999
335, -14390.143261000001
336, -14391.07185
337, -14337.049947
338, -14327.718221000001
339, -14329.391302000002
340, -14329.180534000001
341, -14312.898759
342, -14381.879932
343, -14367.508065
344, -14351.413326
345, -14351.787433000001
346, -14367.817379
347, -14403.995556
348, -14465.339375
349, -14408.489528999999
350, -14427.905311000002
351, -14429.263031
352, -14440.591412
353, -14424.426647999999
354, -14424.173244999998
355, -14500.366838999998
356, -14454.528849
357, -14453.662004
358, -14434.949322
359, -14395.03368
360, -14395.020519
361, -14406.562263
362, -14466.511122
363, -14465.353686000002
364, -14400.598688999999
365, -14431.39221
366, -14446.108154
367, -14447.341962999999
368, -14504.68175
369, -14504.68175
370, -14499.741761000001
371, -14495.968708000002
372, -14424.906696
373, -14360.880068999999
374, -14360.846747
375, -14434.427778
376, -14418.034666999998
377, -14384.816028
378, -14369.411716
379, -14375.168168
380, -14375.250046000001
381, -14391.577758000001
382, -14344.631731
383, -14411.066928999999
384, -14434.600991
385, -14435.62711
386, -14435.62711
387, -14435.559931
388, -14420.405596
389, -14420.438085
390, -14420.345093
391, -14395.145913
392, -14366.24979
393, -14473.762021999999
394, -14473.738613999998
395, -14437.237938999999
396, -14438.078659
397, -14329.029373
398, -14423.2067
399, -14423.54351
400, -14438.724429
401, -14437.493571
402, -14387.796802
403, -14444.155241
404, -14458.669251
405, -14480.854969
406, -14481.215741
407, -14479.903577000001
408, -14510.384837
409, -14510.417102000001
410, -14514.293979
411, -14499.49903
412, -14467.248861000002
413, -14453.247213999999
414, -14424.181007
415, -14423.765596000001
416, -14423.431733000001
417, -14423.148813
418, -14457.042078999999
419, -14458.075225999999
420, -14364.97788
421, -14462.972365000001
422, -14518.829915999999
423, -14411.758057
424, -14396.840300999998
425, -14395.962273
426, -14380.991118
427, -14357.315784
428, -14353.212866
429, -14353.193509
430, -14370.967743000001
431, -14353.28916
432, -14353.696066999999
433, -14312.078415
434, -14312.764113
435, -14312.938141
436, -14312.705061
437, -14425.319555000002
438, -14337.62846
439, -14353.610513
440, -14319.065158000001
441, -14300.175802000002
442, -14316.900624000002
443, -14316.574136000001
444, -14316.646924
445, -14406.056725
446, -14406.03318
447, -14394.613656
448, -14395.232230000001
449, -14344.704101
450, -14510.5241
451, -14530.53697
452, -14510.569094999999
453, -14481.102075
454, -14389.086238999998
455, -14387.467713999999
456, -14451.713557
457, -14414.53375
458, -14416.923274
459, -14408.953346
460, -14385.127037999999
461, -14386.874716999999
462, -14388.234816999999
463, -14378.237605000002
464, -14378.237605000002
465, -14378.296928
466, -14400.665311
467, -14401.057718
468, -14401.057718
469, -14417.838512
470, -14531.271663999998
471, -14475.224747999999
472, -14448.813086000002
473, -14435.981681000001
474, -14412.771413
475, -14373.775346
476, -14373.351990000001
477, -14347.672027
478, -14316.203580000001
479, -14316.426086000001
480, -14345.172559
481, -14344.743738999998
482, -14364.023656
483, -14362.622059000001
484, -14362.600936
485, -14362.583557
486, -14343.849327000002
487, -14357.617369999998
488, -14297.079108000002
489, -14285.108132
490, -14317.687103
491, -14360.839418000001
492, -14359.276992
493, -14375.380388
494, -14404.346633000001
495, -14419.114368
496, -14407.285546000001
497, -14407.285546000001
498, -14322.501012
499, -14353.538146
500, -14352.868113999999
501, -14352.804905
502, -14434.040572999998
503, -14433.187397999998
504, -14432.094341
505, -14431.462584
506, -14433.521407
507, -14416.636588999998
508, -14383.668049000002
509, -14385.676257
510, -14383.8916
511, -14395.858611000001
512, -14282.891613999998
513, -14282.242112
514, -14343.916975999999
515, -14343.923961000002
516, -14344.290552
517, -14328.649688999998
