iter, logposterior
2, -588.0616283118197
3, -477.4479009728851
4, -553.2071517665827
5, -610.7697382611135
6, -545.568444628808
7, -580.5882199221268
8, -537.7586429369924
9, -565.2803368797577
10, -489.0763944500685
11, -446.65953270884364
12, -475.11977194805183
13, -462.081646455881
14, -464.6257899894908
15, -438.39779598776073
16, -458.18440793963515
17, -432.9870898582726
18, -514.7824876523814
19, -452.64043598846933
20, -461.52501818969785
21, -492.7213565419705
22, -444.2099985169847
23, -426.1972628383376
24, -433.676061006061
25, -470.9693639488678
26, -440.74542935199565
27, -582.8874610592782
28, -522.6204721720304
29, -560.6662412913629
30, -598.9718047991022
31, -522.236317063828
32, -479.7090231220271
33, -426.796076254487
34, -434.0590321678729
35, -398.57424302065607
36, -673.6914938856766
37, -524.4967202817425
38, -511.21181321681945
39, -565.2915844983719
40, -494.8879427145139
41, -545.3052225096637
42, -475.19572800723495
43, -552.3989584066877
44, -575.3482750722105
45, -516.6909053023362
46, -415.24666610660046
47, -550.4603050857008
48, -547.6390004292248
49, -433.65609081609955
50, -517.4113264506872
51, -517.6890034031226
52, -576.29160696633
53, -433.0767209501454
54, -522.1743644343966
55, -483.4022648908714
56, -463.04039509389054
57, -482.0112969138203
58, -464.46047123616063
59, -455.9297531250455
60, -542.3169319828595
61, -475.9843218872708
62, -501.9765886134128
63, -582.4967348481731
64, -569.2114310526513
65, -429.8998595137121
66, -574.4757591482677
67, -416.6292491100376
68, -465.37053428323367
69, -463.69276262750657
70, -518.7679801789625
71, -504.6783691497287
72, -439.63277394736195
73, -437.70816712466467
74, -518.7280723017432
75, -485.89870828062527
76, -440.2352100363925
77, -431.81831677301005
78, -434.519347294685
79, -461.603574087608
80, -494.4403407898667
81, -509.0629039207324
82, -436.4205128798633
83, -424.79789714171034
84, -434.32773297232825
85, -488.3438824760595
86, -448.57908584791943
87, -426.38283250557345
88, -556.2274598947629
89, -471.09682042539987
90, -448.63215458824
91, -539.9054857661947
92, -417.0059055150722
93, -427.49424474129006
94, -444.7177282469797
95, -511.98456206703815
96, -430.8416460955801
97, -427.2728542942369
98, -468.001472813578
99, -435.46319645415724
100, -572.8894194864181
101, -436.18335039992667
102, -524.0159494593756
103, -449.5323516512333
104, -455.8642677008648
105, -446.96289568694755
106, -447.0666924618719
107, -424.864119608479
108, -562.9772283635874
109, -473.71379186755945
110, -502.26741049261716
111, -529.1460704233909
112, -456.33754315037106
113, -450.14748106162546
114, -441.3578739135847
115, -440.24399940859945
