Site,BL,low,high
25.0,4.0,4.0,8.0
75.0,4.0,4.0,8.0
125.0,4.0,3.92,5.92
175.0,4.0,3.92,5.92
225.0,4.0,3.92,5.92
275.0,4.0,3.92,5.92
325.0,4.0,3.92,5.92
375.0,4.0,3.92,5.92
425.0,4.0,3.92,5.92
475.0,4.0,3.92,5.92
525.0,4.0,3.92,5.92
575.0,4.0,3.92,5.92
625.0,4.0,3.92,5.92
675.0,6.0,6.0,6.0
725.0,8.0,3.92,4.0
775.0,8.0,3.92,4.0
825.0,8.0,3.92,4.0
875.0,8.0,3.92,4.0
925.0,8.0,3.92,4.0
975.0,8.0,8.0,4.0
1025.0,8.0,8.0,4.0
1075.0,8.0,8.0,4.0
1125.0,8.0,8.0,4.0
1175.0,8.0,8.0,4.0
1225.0,8.0,8.0,4.0
1275.0,8.0,8.0,4.0
1325.0,8.0,8.0,4.0
1375.0,8.0,8.0,4.0
1425.0,8.0,8.0,4.0
1475.0,8.0,8.0,4.0
1525.0,8.0,8.0,4.0
1575.0,8.0,8.0,4.0
1625.0,8.0,8.0,4.0
1675.0,8.0,8.0,4.0
1725.0,8.0,8.0,4.0
1775.0,8.0,8.0,4.0
1825.0,6.0,6.0,6.0
1875.0,6.0,6.0,6.0
1925.0,6.0,6.0,6.0
1975.0,6.0,6.0,6.0
2025.0,6.0,6.0,6.0
2075.0,6.0,6.0,6.0
2125.0,6.0,6.0,6.0
2175.0,6.0,6.0,6.0
2225.0,6.0,6.0,6.0
2275.0,6.0,6.0,6.0
2325.0,6.0,6.0,6.0
2375.0,6.0,6.0,6.0
2425.0,6.0,6.0,6.0
2475.0,6.0,5.92,3.92
2525.0,6.0,5.92,3.92
2575.0,6.0,5.92,3.92
2625.0,6.0,5.92,3.92
2675.0,6.0,5.92,3.92
2725.0,6.0,6.0,6.0
2775.0,6.0,6.0,6.0
2825.0,6.0,6.0,6.0
2875.0,6.0,6.0,6.0
2925.0,8.0,5.92,3.92
2975.0,8.0,8.0,4.0
3025.0,8.0,8.0,4.0
3075.0,8.0,8.0,4.0
3125.0,8.0,8.0,4.0
3175.0,8.0,8.0,4.0
3225.0,4.0,4.0,3.92
3275.0,4.0,4.0,3.92
3325.0,4.0,4.0,3.92
3375.0,4.0,4.0,3.92
3425.0,4.0,4.0,3.92
3475.0,4.0,4.0,3.92
3525.0,4.0,4.0,3.92
3575.0,4.0,4.0,3.92
3625.0,4.0,4.0,3.92
3675.0,4.0,4.0,3.92
3725.0,4.0,4.0,3.92
3775.0,4.0,4.0,3.92
3825.0,4.0,4.0,3.92
3875.0,4.0,4.0,3.92
3925.0,4.0,4.0,3.92
3975.0,4.0,4.0,3.92
4025.0,4.0,4.0,3.92
4075.0,4.0,4.0,3.92
4125.0,4.0,4.0,3.92
4175.0,4.0,4.0,3.92
4225.0,4.0,4.0,3.92
4275.0,4.0,4.0,3.92
4325.0,4.0,4.0,3.92
