Site,BL
1.0,1.8906999999999998
692.0,1.8906999999999998
693.0,1.9686999999999997
1051.0,1.9686999999999997
1052.0,1.9828999999999999
1795.0,1.9828999999999999
1796.0,2.4833000000000003
2407.0,2.4833000000000003
2408.0,4.8131
3122.0,4.8131
3123.0,6.798900000000001
3182.0,6.798900000000001
3183.0,6.8348
3293.0,6.8348
3294.0,6.8348
4000.0,6.8348
4001.0,6.8348
5157.0,6.8348
5158.0,6.8298000000000005
7906.0,6.8298000000000005
7907.0,6.8298000000000005
9110.0,6.8298000000000005
9111.0,6.8298000000000005
10000.0,6.8298000000000005
