iter, logposterior
0, -298.22924856
1, -295.51437298
2, -287.42559029
3, -282.68248219
4, -260.91802827
5, -239.72049373
6, -239.72049373
7, -202.39612105
8, -202.39612105
9, -202.39612105
10, -202.39612105
11, -202.39612105
12, -202.39612105
13, -202.39612105
14, -202.78960562
15, -202.78960562
16, -202.78960562
17, -202.78960562
18, -202.78960562
19, -202.88472657
20, -203.00198564
21, -199.43899716
22, -198.00332388
23, -198.00332388
24, -197.8100835
25, -197.8100835
26, -197.8100835
27, -197.8100835
28, -197.8100835
29, -197.8100835
30, -197.8100835
31, -197.8100835
32, -197.8100835
33, -198.22152052
34, -198.22152052
35, -198.22152052
36, -198.22152052
37, -198.22152052
38, -197.90616354
39, -197.08038882
40, -195.92651843
41, -195.92651843
42, -195.92651843
43, -198.74844679
44, -198.74844679
45, -198.35431446
46, -198.35431446
47, -198.35431446
48, -198.35431446
49, -198.35431446
50, -198.35431446
51, -198.35431446
52, -198.22824952
53, -198.22824952
54, -198.22824952
55, -198.22824952
56, -198.22824952
57, -197.74028749
58, -197.74028749
59, -197.74028749
60, -198.01163905
61, -198.34422257
62, -197.07406992
63, -197.07406992
64, -197.07406992
65, -197.07406992
66, -197.07406992
67, -197.07406992
68, -197.07406992
69, -197.07406992
70, -197.07406992
71, -196.42139257
72, -196.42139257
73, -196.42139257
74, -196.42139257
75, -196.42139257
76, -196.63536291
77, -196.95148089
78, -196.95148089
79, -196.35870766
80, -196.35870766
81, -196.35870766
82, -195.19319629
83, -195.95736307
84, -192.70311874
85, -192.70311874
86, -192.70311874
87, -192.70311874
88, -192.70311874
89, -192.70311874
90, -192.68783817
91, -192.68783817
92, -192.68783817
93, -192.68783817
94, -192.68783817
95, -192.68783817
96, -192.83891299
97, -192.83891299
98, -192.83891299
99, -193.45489497
100, -193.45489497
101, -192.89949697
102, -192.89949697
103, -193.02921473
104, -193.02921473
105, -193.02921473
106, -193.02921473
107, -193.02921473
108, -193.02921473
109, -192.97380856
110, -192.97380856
111, -192.97380856
112, -192.97380856
113, -192.97380856
114, -192.97380856
115, -192.92211439
116, -192.92211439
117, -194.00759907
118, -194.00759907
119, -194.49780919
120, -194.49780919
121, -194.49780919
122, -194.03831049
123, -194.03831049
124, -194.03831049
125, -194.03831049
126, -194.03831049
127, -194.03831049
128, -194.02380136
129, -194.02380136
130, -194.02380136
131, -194.02380136
132, -194.02380136
133, -194.02380136
134, -194.69447613
135, -194.69447613
136, -194.69447613
137, -194.69447613
138, -194.72714258
139, -194.86917578
140, -193.35008163
141, -190.06832014
142, -190.06832014
143, -190.06832014
144, -190.06832014
145, -190.06832014
146, -190.06832014
147, -189.99325681
148, -189.99325681
149, -189.99325681
150, -189.99325681
151, -189.99325681
152, -189.99325681
153, -190.18235032
154, -190.20460093
155, -191.52415992
156, -191.52415992
157, -191.52415992
158, -191.01775952
159, -191.14522567
160, -195.55360137
161, -195.55360137
162, -195.55360137
163, -195.55360137
164, -195.55360137
165, -195.55360137
166, -195.49768955
167, -195.49768955
168, -195.49768955
169, -195.49768955
170, -195.49768955
171, -194.77500381
172, -194.62285532
173, -192.16010012
174, -190.24932448
175, -190.24932448
176, -190.80017652
177, -190.80017652
178, -191.5230851
179, -191.87477512
180, -191.87477512
181, -191.87477512
182, -191.87477512
183, -191.87477512
184, -191.87477512
185, -191.89460617
186, -191.90435569
187, -191.90435569
188, -191.90435569
189, -191.90435569
190, -191.90435569
191, -192.14414121
192, -192.17949113
193, -192.40777498
194, -193.10286986
195, -193.96419845
196, -193.96419845
197, -194.14712847
198, -193.96924744
199, -193.96924744
200, -193.96924744
201, -193.96924744
202, -193.96924744
203, -193.96924744
204, -193.97996356
205, -193.97996356
206, -193.97996356
207, -193.97996356
208, -193.97996356
209, -193.97996356
210, -193.35235363
211, -193.35235363
212, -193.35235363
213, -194.30039855
214, -193.31061673
215, -193.31061673
216, -193.31061673
217, -193.31061673
218, -193.31061673
219, -193.31061673
220, -193.31061673
221, -193.31061673
222, -193.31061673
223, -193.28655021
224, -193.28655021
225, -193.28655021
226, -193.28655021
227, -193.28655021
228, -193.03200525
229, -193.14128179
230, -193.14128179
231, -193.44421682
232, -192.76181632
233, -192.76181632
234, -192.76181632
235, -193.22157811
236, -193.22157811
237, -193.22157811
238, -193.22157811
239, -193.22157811
240, -193.22157811
241, -193.22157811
242, -193.22157811
243, -193.22157811
244, -193.22157811
245, -193.22157811
246, -193.22157811
247, -193.51008717
248, -193.51008717
249, -193.78256964
250, -192.58349235
251, -192.58349235
252, -192.58349235
253, -192.58349235
254, -190.91252838
255, -190.54483704
256, -190.54483704
257, -190.54483704
258, -190.54483704
259, -190.54483704
260, -190.54483704
261, -190.58713905
262, -190.58713905
263, -190.58713905
264, -190.58713905
265, -190.58713905
266, -190.51646862
267, -190.48452428
268, -192.57244439
269, -192.57244439
270, -192.57244439
271, -191.73622271
272, -191.73622271
273, -191.90999812
274, -189.29154034
275, -189.29154034
276, -189.29154034
277, -189.29154034
278, -189.29154034
279, -189.29154034
280, -189.32257322
281, -189.32257322
282, -189.32257322
283, -189.32257322
284, -189.32257322
285, -189.65384171
286, -189.53151237
287, -188.05362639
288, -188.05362639
289, -188.05362639
290, -188.94519727
291, -188.94519727
292, -189.07858477
293, -190.96925343
294, -190.96925343
295, -190.96925343
296, -190.96925343
297, -190.96925343
298, -190.96925343
299, -190.94844012
300, -190.94844012
301, -190.94844012
302, -190.94844012
303, -190.94844012
304, -190.94844012
305, -190.96070138
306, -190.96070138
307, -190.96070138
308, -190.96070138
309, -190.80790091
310, -190.80790091
311, -190.80790091
312, -191.94438871
313, -191.94438871
314, -191.94438871
315, -191.94438871
316, -191.94438871
317, -191.94438871
318, -191.94179108
319, -191.88814213
320, -191.88814213
321, -191.88814213
322, -191.88814213
323, -191.55493873
324, -191.65282824
325, -193.06512228
326, -195.24695763
327, -193.51397353
328, -193.51397353
329, -193.51397353
330, -192.79290346
331, -192.79290346
332, -192.79290346
333, -192.79290346
334, -192.79290346
335, -192.79290346
336, -192.79290346
337, -192.74031859
338, -192.74031859
339, -192.74031859
340, -192.74031859
341, -192.74031859
342, -192.62956311
343, -193.01042578
344, -191.80247237
345, -191.80247237
346, -190.9485042
347, -190.15279973
348, -190.15279973
349, -190.15279973
350, -189.99191587
351, -189.99191587
352, -189.99191587
353, -189.99191587
354, -189.99191587
355, -189.99191587
356, -190.06863146
357, -190.06863146
358, -190.06863146
359, -190.06863146
360, -190.06863146
361, -190.04791783
362, -189.65346324
363, -190.37705859
364, -189.37816662
365, -189.37816662
366, -189.37816662
367, -189.37816662
368, -189.37816662
369, -189.92545259
370, -189.92545259
371, -189.92545259
372, -189.92545259
373, -189.92545259
374, -189.92545259
375, -189.90097666
376, -189.86020563
377, -189.86020563
378, -189.86020563
379, -189.86020563
380, -189.88641373
381, -190.03348114
382, -189.49552966
383, -189.88586796
384, -192.00836938
385, -192.00836938
386, -192.00836938
387, -194.1869561
388, -187.8456615
389, -187.8456615
390, -187.8456615
391, -187.8456615
392, -187.8456615
393, -187.8456615
394, -187.84585104
395, -187.84585104
396, -187.84585104
397, -187.84585104
398, -187.84585104
399, -188.19302941
400, -188.9702954
401, -188.45801967
402, -188.69649961
403, -188.69649961
404, -188.69649961
405, -188.69649961
406, -188.69649961
407, -193.19608499
408, -193.19608499
409, -193.19608499
410, -193.19608499
411, -193.19608499
412, -193.19608499
413, -193.15805415
414, -193.15805415
415, -193.15805415
416, -193.15805415
417, -193.15805415
418, -193.56847675
419, -193.49752589
420, -194.20851519
421, -194.20851519
422, -191.70469205
423, -191.70469205
424, -191.70469205
425, -190.25471913
426, -189.89919465
427, -189.89919465
428, -189.89919465
429, -189.89919465
430, -189.89919465
431, -189.89919465
432, -189.91431638
433, -189.91431638
434, -189.91431638
435, -189.91431638
436, -189.91431638
437, -189.33900969
438, -188.90902971
439, -189.11063329
440, -188.18258492
441, -188.18258492
442, -188.13263269
443, -189.96163914
444, -190.51283302
445, -191.18502552
446, -191.18502552
447, -191.18502552
448, -191.18502552
449, -191.18502552
450, -191.18502552
451, -191.18338513
452, -191.18338513
453, -191.18338513
454, -191.18338513
455, -191.18338513
456, -191.18338513
457, -189.86372184
458, -188.35097553
459, -188.21875782
460, -188.21875782
461, -188.21875782
462, -187.74976204
463, -187.74976204
464, -188.79662618
465, -188.79662618
466, -188.79662618
467, -188.79662618
468, -188.79662618
469, -188.79662618
470, -188.66445146
471, -188.66445146
472, -188.66445146
473, -188.66445146
474, -188.66445146
475, -188.73679531
476, -188.26774298
477, -188.26774298
478, -186.79065096
479, -186.79065096
480, -186.79065096
481, -186.79065096
482, -187.14513048
483, -182.9503566
484, -182.9503566
485, -182.9503566
486, -182.9503566
487, -182.9503566
488, -182.9503566
489, -182.95006546
490, -182.95006546
491, -182.95006546
492, -182.95006546
493, -182.95006546
494, -182.95006546
495, -183.50313009
496, -183.50313009
497, -183.50313009
498, -183.50313009
499, -183.50313009
500, -183.50313009
501, -183.50313009
502, -186.42586529
503, -186.42586529
504, -186.42586529
505, -186.42586529
506, -186.42586529
507, -186.42586529
508, -186.43907834
509, -186.43907834
510, -186.43907834
511, -186.43907834
512, -186.43907834
513, -186.47545823
514, -186.23043234
515, -190.06347208
516, -190.06347208
517, -190.12695593
518, -189.79940772
519, -189.79940772
520, -189.79940772
521, -189.65908159
522, -189.65908159
523, -189.65908159
524, -189.65908159
525, -189.65908159
526, -189.65908159
527, -189.62555023
528, -189.62555023
529, -189.62555023
530, -189.62555023
531, -189.62555023
532, -189.62555023
533, -189.6330772
534, -187.26127088
535, -188.22869258
536, -188.33092757
537, -188.88365974
538, -188.88365974
539, -188.88365974
540, -190.40267994
541, -190.40267994
542, -190.40267994
543, -190.40267994
544, -190.40267994
545, -190.40267994
546, -190.27081162
547, -190.27081162
548, -190.27081162
549, -190.27081162
550, -190.27081162
551, -190.28944062
552, -190.02709298
553, -190.02709298
554, -189.62506808
555, -189.62506808
556, -189.62506808
557, -190.31806862
558, -190.64852211
559, -190.62299924
560, -190.62299924
561, -190.62299924
562, -190.62299924
563, -190.62299924
564, -190.62299924
565, -190.6268958
566, -190.6268958
567, -190.6268958
568, -190.6268958
569, -190.6268958
570, -190.61397584
571, -190.87372926
572, -189.76658812
573, -189.83983209
574, -189.83983209
575, -189.5063434
576, -189.11248702
577, -188.20380806
578, -187.81259648
579, -187.81259648
580, -187.81259648
581, -187.81259648
582, -187.81259648
583, -187.81259648
584, -187.82784968
585, -187.82628441
586, -187.82628441
587, -187.82628441
588, -187.82628441
589, -187.87237521
590, -187.64377629
591, -186.83952041
592, -186.1088808
593, -186.1088808
594, -186.55827458
595, -186.55827458
596, -186.55827458
597, -183.43409319
598, -183.43409319
599, -183.43409319
600, -183.43409319
601, -183.43409319
602, -183.43409319
603, -183.43194131
604, -183.43194131
605, -183.43194131
606, -183.43194131
607, -183.43194131
608, -183.43194131
609, -183.3688658
610, -183.3688658
611, -184.30610837
612, -184.30610837
613, -183.76805003
614, -183.85627618
615, -183.8324593
616, -185.36886685
617, -185.36886685
618, -185.36886685
619, -185.36886685
620, -185.36886685
621, -185.36886685
622, -185.363359
623, -185.363359
624, -185.363359
625, -185.363359
626, -185.363359
627, -185.30119046
628, -185.41906404
629, -185.41679953
630, -185.35635385
631, -185.35635385
632, -186.86366881
633, -186.86366881
634, -186.16111283
635, -187.27066393
636, -187.27066393
637, -187.27066393
638, -187.27066393
639, -187.27066393
640, -187.27066393
641, -187.25026886
642, -187.25026886
643, -187.25026886
644, -187.25026886
645, -187.25026886
646, -187.25026886
647, -187.15171167
648, -189.9834603
649, -190.42877285
650, -190.42877285
651, -190.42877285
652, -190.42877285
653, -190.42877285
654, -191.29403866
655, -191.29403866
656, -191.29403866
657, -191.29403866
658, -191.29403866
659, -191.29403866
660, -191.37655949
661, -191.32110241
662, -191.32110241
663, -191.32110241
664, -191.32110241
665, -191.21609249
666, -191.84001906
667, -191.84001906
668, -191.84001906
669, -191.84001906
670, -191.42751363
671, -190.82951535
672, -190.82951535
673, -189.63824896
674, -189.63824896
675, -189.63824896
676, -189.63824896
677, -189.63824896
678, -189.63824896
679, -189.64926218
680, -189.64926218
681, -189.64926218
682, -189.64926218
683, -189.64926218
684, -189.64926218
685, -189.79913263
686, -187.94828778
687, -187.01525521
688, -186.90945309
689, -186.90945309
690, -186.36753494
691, -186.36753494
692, -186.05556582
693, -186.05556582
694, -186.05556582
695, -186.05556582
696, -186.05556582
697, -186.05556582
698, -186.05571845
699, -186.05571845
700, -186.05571845
701, -186.05571845
702, -186.05571845
703, -186.42826233
704, -186.26708854
705, -186.38450814
706, -186.30666
707, -186.30666
708, -186.30666
709, -186.2364544
710, -186.2364544
711, -186.03797617
712, -186.03797617
713, -186.03797617
714, -186.03797617
715, -186.03797617
716, -186.03797617
717, -186.02635746
718, -186.02635746
719, -186.02635746
720, -186.02635746
721, -186.02635746
722, -185.74633781
723, -185.74472474
724, -187.10514524
725, -187.71086602
726, -187.7153577
727, -187.7153577
728, -187.7153577
729, -187.7153577
730, -187.7153577
731, -187.7153577
732, -187.7153577
733, -187.7153577
734, -187.7153577
735, -187.7153577
736, -187.7304406
737, -187.7304406
738, -187.7304406
739, -187.7304406
740, -187.7304406
741, -187.7304406
742, -188.25686437
743, -188.50323354
744, -188.50323354
745, -188.50323354
746, -188.62065649
747, -188.62065649
748, -188.62203816
749, -190.79743624
750, -190.79743624
751, -190.79743624
752, -190.79743624
753, -190.79743624
754, -190.79743624
755, -190.77133246
756, -190.71505446
757, -190.71505446
758, -190.71505446
759, -190.71505446
760, -190.83111598
761, -190.71247766
762, -188.95161856
763, -189.35922844
764, -189.35922844
765, -189.35922844
766, -189.00450834
767, -188.97237741
768, -189.56759114
769, -189.56759114
770, -189.56759114
771, -189.56759114
772, -189.56759114
773, -189.56759114
774, -189.691573
775, -189.691573
776, -189.691573
777, -189.691573
778, -189.691573
779, -189.58297191
780, -189.58297191
781, -190.04248688
782, -190.04248688
783, -190.04248688
784, -190.04248688
785, -191.05417668
786, -191.05417668
787, -191.05417668
788, -191.05417668
789, -191.05417668
790, -191.05417668
791, -191.05417668
792, -191.05417668
793, -191.17140483
794, -191.17140483
795, -191.17140483
796, -191.17140483
797, -191.17140483
798, -191.26705846
799, -191.08872734
800, -192.29424395
801, -192.25807273
802, -195.22353749
803, -195.30294553
804, -193.30703534
805, -193.30703534
806, -191.9161815
807, -191.9161815
808, -191.9161815
809, -191.9161815
810, -191.9161815
811, -191.9161815
812, -191.89865531
813, -191.89865531
814, -191.89865531
815, -191.89865531
816, -191.89865531
817, -191.89865531
818, -191.3631284
819, -191.22605181
820, -191.22605181
821, -191.22605181
822, -191.22605181
823, -191.7004015
824, -192.3620421
825, -192.94651948
826, -192.94651948
827, -192.94651948
828, -192.94651948
829, -192.94651948
830, -192.94651948
831, -192.94718219
832, -192.94718219
833, -192.94718219
834, -192.94718219
835, -192.94718219
836, -192.94718219
837, -193.03201189
838, -193.74290815
839, -193.55809678
840, -193.55809678
841, -192.69953719
842, -192.69953719
843, -192.59139966
844, -193.32997241
845, -193.32997241
846, -193.32997241
847, -193.32997241
848, -193.32997241
849, -193.32997241
850, -193.26994384
851, -193.26994384
852, -193.26994384
853, -193.26994384
854, -193.26994384
855, -193.16018525
856, -193.82965254
857, -191.90963156
858, -193.02817455
859, -193.02817455
860, -193.02817455
861, -190.66425951
862, -193.88774071
863, -193.01571677
864, -193.01571677
865, -193.01571677
866, -193.01571677
867, -193.01571677
868, -193.01571677
869, -192.99909358
870, -192.99909358
871, -192.99909358
872, -192.99909358
873, -192.99909358
874, -193.08091238
875, -192.756737
876, -193.41801152
877, -193.64466512
878, -193.64466512
879, -193.03123118
880, -193.03123118
881, -193.03123118
882, -191.27150086
883, -191.27150086
884, -191.27150086
885, -191.27150086
886, -191.27150086
887, -191.27150086
888, -191.25658068
889, -191.25658068
890, -191.25658068
891, -191.25658068
892, -191.25658068
893, -191.24166856
894, -191.61480141
895, -190.97407404
896, -191.38914766
897, -191.38914766
898, -191.41756042
899, -191.41756042
900, -190.22843363
901, -192.33047665
902, -192.33047665
903, -192.33047665
904, -192.33047665
905, -192.33047665
906, -192.33047665
907, -192.26093904
908, -192.26093904
909, -192.26093904
910, -192.26093904
911, -192.26093904
912, -192.23251002
913, -192.23251002
914, -192.21548677
915, -191.93629911
916, -191.93629911
917, -190.7515246
918, -190.7515246
919, -191.61035006
920, -191.65228331
921, -191.65228331
922, -191.65228331
923, -191.65228331
924, -191.65228331
925, -191.65228331
926, -191.72011177
927, -191.72011177
928, -191.72011177
929, -191.72011177
930, -191.72011177
931, -191.7716394
932, -191.6229102
933, -192.23927176
934, -192.61792886
935, -192.61792886
936, -192.61792886
937, -192.61792886
938, -191.57859109
939, -191.57859109
940, -191.57859109
941, -191.57859109
942, -191.57859109
943, -191.57859109
944, -191.57859109
945, -191.54975195
946, -191.54975195
947, -191.54975195
948, -191.54975195
949, -191.54975195
950, -191.39504678
951, -191.16444706
952, -193.5221128
953, -192.10958582
954, -192.10958582
955, -192.10958582
956, -192.10958582
957, -192.10958582
958, -191.7327862
959, -191.7327862
960, -191.7327862
961, -191.7327862
962, -191.7327862
963, -191.7327862
964, -191.72786468
965, -191.72786468
966, -191.72786468
967, -191.72786468
968, -191.72786468
969, -191.72786468
970, -192.28312137
971, -193.1723731
972, -193.1723731
973, -193.1723731
974, -193.1723731
975, -194.11448851
976, -195.18536644
977, -195.18536644
978, -195.18536644
979, -195.18536644
980, -195.18536644
981, -195.18536644
982, -195.18536644
983, -195.14572979
984, -195.14572979
985, -195.14572979
986, -195.14572979
987, -195.14572979
988, -195.34138732
989, -195.30660883
990, -191.45326925
991, -191.39093873
992, -189.61755849
993, -189.61755849
994, -189.61755849
995, -189.61755849
996, -189.35905871
997, -189.35905871
998, -189.35905871
999, -189.35905871
1000, -189.35905871
1001, -189.35905871
1002, -189.30752581
1003, -189.36781584
1004, -189.36781584
1005, -189.36781584
1006, -189.36781584
1007, -189.36781584
1008, -188.49486272
1009, -188.49486272
1010, -188.49486272
1011, -188.49486272
1012, -188.49486272
1013, -188.49486272
1014, -188.49486272
1015, -188.49486272
1016, -188.49486272
1017, -188.49486272
1018, -188.49486272
1019, -188.49486272
1020, -188.49486272
1021, -188.50654913
1022, -188.50654913
1023, -188.50654913
1024, -188.50654913
1025, -188.50654913
1026, -188.66163592
1027, -188.58627305
1028, -188.68035778
1029, -187.73433823
1030, -187.89310046
1031, -188.94549539
1032, -191.07152402
1033, -191.07152402
1034, -190.72582951
1035, -190.72582951
1036, -190.72582951
1037, -190.72582951
1038, -190.72582951
1039, -190.72582951
1040, -190.67831414
1041, -190.72767621
1042, -190.72767621
1043, -190.72767621
1044, -190.72767621
1045, -190.93070747
1046, -190.18621423
1047, -190.22289504
1048, -189.21082116
1049, -189.21082116
1050, -189.21082116
1051, -189.21082116
1052, -189.21082116
1053, -188.64465346
1054, -188.64465346
