iter, nrecombs
0, 0
1, 5
2, 2
3, 3
4, 1
5, 0
6, 4
7, 0
8, 1
9, 0
10, 1
11, 4
12, 0
13, 1
14, 0
15, 3
16, 1
17, 4
18, 4
19, 2
20, 5
21, 3
22, 5
23, 5
24, 5
25, 2
26, 2
27, 4
28, 3
29, 5
30, 3
31, 1
32, 5
33, 5
34, 5
35, 3
36, 1
37, 2
38, 4
39, 6
40, 4
41, 3
42, 6
43, 3
44, 7
45, 2
46, 3
47, 5
48, 5
49, 2
50, 2
51, 6
52, 5
53, 3
54, 4
55, 5
56, 4
57, 1
58, 5
59, 5
60, 7
61, 6
62, 4
63, 4
64, 2
65, 3
66, 4
67, 5
68, 4
69, 4
70, 1
71, 3
72, 2
73, 4
74, 2
75, 6
76, 4
77, 7
78, 1
79, 5
80, 3
81, 3
82, 5
83, 3
84, 2
85, 4
86, 5
87, 5
88, 5
89, 5
90, 6
91, 6
92, 1
93, 5
94, 4
95, 6
96, 2
97, 2
98, 3
99, 3
100, 3
101, 2
102, 6
103, 2
104, 6
105, 6
106, 8
107, 5
108, 5
109, 3
110, 3
111, 4
112, 7
113, 3
114, 2
115, 4
116, 3
117, 2
118, 6
119, 5
120, 4
121, 5
122, 5
123, 12
124, 3
125, 7
126, 7
127, 2
128, 4
129, 2
130, 5
131, 4
132, 1
133, 3
134, 3
135, 3
136, 5
137, 5
138, 6
139, 3
140, 4
141, 3
142, 4
143, 4
144, 3
145, 4
146, 1
147, 5
148, 5
149, 3
150, 2
151, 3
152, 1
153, 3
154, 0
155, 3
156, 8
157, 4
158, 2
159, 3
160, 2
161, 4
162, 3
163, 2
164, 7
165, 7
166, 7
167, 6
168, 2
169, 3
170, 6
171, 8
172, 3
173, 4
174, 4
175, 3
176, 5
177, 5
178, 7
179, 4
180, 2
181, 4
182, 5
183, 4
184, 5
185, 3
186, 3
187, 10
188, 4
189, 4
190, 3
191, 4
192, 6
193, 7
194, 3
195, 3
196, 4
197, 2
198, 4
199, 4
200, 3
201, 4
202, 4
203, 4
204, 2
205, 5
206, 4
207, 4
208, 4
209, 5
210, 2
211, 4
212, 4
213, 5
214, 6
215, 3
216, 3
217, 5
218, 6
219, 6
220, 2
221, 4
222, 6
223, 4
224, 3
225, 3
226, 1
227, 6
228, 1
229, 4
230, 4
231, 3
232, 2
233, 7
234, 4
235, 10
236, 4
237, 11
238, 4
239, 2
240, 2
241, 6
242, 4
243, 2
244, 4
245, 5
246, 3
247, 3
248, 2
249, 4
250, 3
251, 3
252, 4
253, 2
254, 2
255, 1
256, 5
257, 10
258, 8
259, 4
260, 2
261, 5
262, 5
263, 3
264, 5
265, 8
266, 5
267, 9
268, 6
269, 9
270, 6
271, 5
272, 9
273, 3
274, 6
275, 2
276, 5
277, 11
278, 4
279, 4
280, 6
281, 8
282, 5
283, 4
284, 3
285, 3
286, 4
287, 4
288, 2
289, 5
290, 2
291, 6
292, 5
293, 4
294, 3
295, 8
296, 6
297, 8
298, 6
299, 7
300, 8
301, 4
302, 4
