iter, nrecombs
0, 3
1, 3
2, 6
3, 6
4, 6
5, 6
6, 4
7, 4
8, 5
9, 4
10, 5
11, 5
12, 5
13, 5
14, 6
15, 5
16, 5
17, 3
18, 3
19, 3
20, 3
21, 3
22, 4
23, 4
24, 4
25, 5
26, 6
27, 6
28, 4
29, 6
30, 5
31, 5
32, 5
33, 4
34, 4
35, 4
36, 4
37, 4
38, 3
39, 3
40, 1
41, 1
42, 2
43, 2
44, 2
45, 2
46, 2
47, 2
48, 2
49, 2
50, 2
51, 2
52, 4
53, 5
54, 5
55, 4
56, 4
57, 4
58, 4
59, 4
60, 4
61, 3
62, 3
63, 3
64, 4
65, 4
66, 4
67, 4
68, 4
69, 4
70, 5
71, 3
72, 3
73, 3
74, 3
75, 3
76, 4
77, 3
78, 3
79, 3
80, 3
81, 2
82, 4
83, 4
84, 4
85, 4
86, 2
87, 2
88, 3
89, 3
90, 3
91, 3
92, 3
93, 3
94, 5
95, 6
96, 3
97, 3
98, 3
99, 3
100, 3
101, 4
102, 6
103, 5
104, 5
105, 3
106, 4
107, 4
108, 4
109, 3
110, 3
111, 3
112, 3
113, 3
114, 3
115, 1
116, 1
117, 1
118, 1
119, 1
120, 2
121, 2
122, 3
123, 3
124, 3
125, 3
126, 3
127, 3
128, 4
129, 4
130, 3
131, 5
132, 3
133, 3
134, 4
135, 4
136, 4
137, 5
138, 5
139, 5
140, 4
141, 4
142, 4
143, 2
144, 2
145, 2
146, 4
147, 4
148, 4
149, 4
150, 4
151, 4
152, 4
153, 4
154, 2
155, 6
156, 3
157, 3
158, 4
159, 5
160, 2
161, 2
162, 2
163, 6
164, 4
165, 2
166, 2
167, 2
168, 2
169, 2
170, 2
171, 2
172, 2
173, 2
174, 2
175, 3
176, 2
177, 2
178, 2
179, 3
180, 5
181, 5
182, 4
183, 4
184, 4
185, 4
186, 5
187, 3
188, 3
189, 3
190, 3
191, 3
192, 3
193, 3
194, 2
195, 4
196, 4
197, 4
198, 4
199, 4
200, 4
201, 3
202, 3
203, 7
204, 7
205, 5
206, 4
207, 2
208, 2
209, 2
210, 6
211, 6
212, 5
213, 5
214, 3
215, 5
216, 3
217, 3
218, 2
219, 3
220, 4
221, 4
222, 4
223, 4
224, 4
225, 4
226, 3
227, 4
228, 5
229, 5
230, 5
231, 5
232, 4
233, 4
234, 3
235, 3
236, 3
237, 4
238, 4
239, 4
240, 4
241, 4
242, 5
243, 3
244, 3
245, 3
246, 5
247, 5
248, 5
249, 3
250, 5
251, 5
252, 5
253, 5
254, 8
255, 9
256, 4
257, 4
258, 4
259, 4
260, 4
261, 4
262, 4
263, 3
264, 3
265, 3
266, 3
267, 3
268, 3
269, 3
270, 3
271, 3
272, 6
273, 5
274, 5
275, 5
276, 5
277, 4
278, 7
279, 7
280, 7
281, 7
282, 3
283, 3
284, 3
285, 3
286, 3
287, 3
288, 3
289, 3
290, 3
291, 3
292, 3
293, 3
294, 4
295, 5
296, 4
297, 4
298, 4
299, 3
300, 3
301, 3
302, 3
303, 3
304, 3
305, 3
306, 1
307, 1
308, 1
309, 1
310, 1
311, 1
312, 2
313, 2
314, 3
315, 5
316, 5
317, 3
318, 3
319, 4
320, 4
321, 4
322, 4
323, 4
324, 5
325, 7
326, 5
327, 4
328, 3
329, 5
330, 3
331, 4
332, 3
333, 3
334, 3
335, 3
336, 3
337, 3
338, 3
339, 2
340, 2
341, 2
342, 3
343, 3
344, 3
345, 3
346, 5
347, 3
348, 2
349, 2
350, 2
351, 2
352, 2
353, 2
354, 2
355, 2
356, 2
357, 4
358, 4
359, 4
360, 4
361, 4
362, 2
363, 2
364, 2
365, 2
366, 2
367, 2
368, 4
369, 2
370, 6
371, 6
372, 6
373, 6
374, 6
375, 4
376, 4
377, 4
378, 5
379, 5
380, 5
381, 5
382, 5
383, 5
384, 5
385, 3
386, 3
387, 3
388, 3
389, 3
390, 4
391, 3
392, 3
393, 2
394, 4
395, 5
396, 4
397, 4
398, 4
399, 1
400, 2
401, 2
402, 2
403, 2
404, 2
405, 4
406, 4
407, 5
408, 5
409, 2
410, 2
411, 2
412, 2
413, 2
414, 1
415, 5
416, 4
417, 4
418, 2
419, 3
420, 3
421, 2
422, 2
423, 4
424, 4
425, 4
426, 4
427, 4
428, 4
429, 4
430, 4
431, 4
432, 4
433, 4
434, 4
435, 4
436, 4
437, 2
438, 2
439, 3
440, 3
441, 4
442, 3
443, 3
444, 3
445, 3
446, 3
447, 3
448, 4
449, 3
450, 3
451, 3
452, 4
453, 4
454, 4
455, 4
456, 2
457, 4
458, 3
459, 5
460, 5
461, 5
462, 5
463, 5
464, 5
465, 5
466, 4
467, 4
468, 4
469, 2
470, 2
471, 2
472, 3
473, 2
474, 2
475, 3
476, 4
477, 4
478, 4
479, 4
480, 7
481, 4
482, 2
483, 2
484, 2
485, 3
486, 3
487, 5
488, 5
489, 5
490, 5
491, 5
492, 5
493, 5
494, 5
495, 5
496, 5
497, 3
498, 2
499, 2
500, 3
501, 2
502, 2
503, 2
504, 2
505, 2
506, 2
507, 2
508, 2
509, 2
510, 2
511, 2
512, 2
513, 2
514, 2
515, 2
516, 1
517, 1
518, 4
519, 4
520, 3
521, 3
522, 3
523, 3
524, 3
525, 3
526, 3
527, 2
528, 2
529, 2
530, 2
531, 1
532, 1
533, 3
534, 2
535, 2
536, 2
537, 2
538, 4
539, 3
540, 2
541, 2
542, 3
543, 3
544, 3
545, 3
546, 3
547, 3
548, 2
549, 2
550, 3
551, 3
552, 3
553, 4
554, 4
555, 2
556, 2
557, 2
558, 5
559, 6
560, 3
561, 1
562, 1
563, 3
564, 1
565, 1
566, 2
567, 2
568, 2
569, 2
570, 3
571, 1
572, 1
573, 1
574, 1
575, 1
576, 1
577, 2
578, 3
579, 3
580, 3
581, 5
582, 4
583, 4
584, 4
585, 4
586, 4
587, 3
588, 3
589, 3
590, 3
591, 3
592, 3
593, 3
594, 3
595, 3
596, 3
597, 3
598, 3
599, 3
600, 3
601, 4
602, 5
603, 5
604, 1
605, 2
606, 2
607, 2
608, 6
609, 6
610, 6
611, 6
612, 6
613, 3
614, 1
615, 1
616, 2
617, 2
618, 2
619, 2
620, 2
621, 4
622, 4
623, 4
624, 4
625, 5
626, 4
627, 4
628, 4
629, 3
630, 1
631, 4
632, 2
633, 2
634, 2
635, 5
636, 4
637, 4
638, 4
639, 4
640, 4
641, 3
642, 2
643, 2
644, 3
645, 3
646, 3
647, 3
648, 2
649, 5
650, 5
651, 3
652, 3
653, 2
654, 3
655, 3
656, 3
657, 3
658, 3
659, 3
660, 3
661, 3
662, 3
663, 3
664, 3
665, 3
666, 4
667, 4
668, 4
669, 4
670, 4
671, 4
672, 4
673, 3
674, 3
675, 3
676, 3
677, 2
678, 3
679, 3
680, 3
681, 5
682, 2
683, 2
684, 2
685, 5
686, 5
687, 5
688, 3
689, 3
690, 3
691, 4
692, 9
693, 9
694, 9
695, 5
696, 5
697, 5
698, 5
699, 4
700, 3
701, 3
702, 3
703, 3
704, 3
