Site,BL,low,high
25.0,0.0,0.0,5.92
75.0,0.0,0.0,5.92
125.0,0.0,0.0,5.92
175.0,0.0,0.0,5.92
225.0,0.0,0.0,5.92
275.0,0.0,0.0,5.92
325.0,0.0,0.0,5.92
375.0,0.0,0.0,5.92
425.0,0.0,0.0,5.92
475.0,0.0,0.0,5.92
525.0,0.0,0.0,5.92
575.0,0.0,0.0,5.92
625.0,0.0,0.0,5.92
675.0,0.0,0.0,5.92
725.0,0.0,0.0,5.92
775.0,0.0,0.0,5.92
825.0,0.0,0.0,5.92
875.0,0.0,0.0,5.92
925.0,0.0,0.0,5.92
975.0,0.0,0.0,5.92
1025.0,0.0,0.0,5.92
1075.0,0.0,0.0,5.92
1125.0,0.0,0.0,5.92
1175.0,0.0,0.0,5.92
1225.0,0.0,0.0,5.92
1275.0,0.0,0.0,5.92
1325.0,0.0,0.0,5.92
1375.0,0.0,0.0,5.92
1425.0,0.0,0.0,5.92
1475.0,0.0,0.0,5.92
1525.0,0.0,0.0,5.92
1575.0,0.0,0.0,5.92
1625.0,0.0,0.0,5.92
1675.0,0.0,0.0,5.92
1725.0,0.0,0.0,5.92
1775.0,0.0,0.0,5.92
1825.0,0.0,0.0,5.92
1875.0,0.0,0.0,5.92
1925.0,0.0,0.0,4.0
1975.0,0.0,0.0,5.92
2025.0,0.0,0.0,5.92
2075.0,0.0,0.0,5.92
2125.0,0.0,0.0,5.92
2175.0,0.0,0.0,5.92
2225.0,0.0,0.0,5.92
2275.0,0.0,0.0,5.92
2325.0,0.0,0.0,5.92
2375.0,2.0,2.0,3.92
2425.0,2.0,2.0,3.92
2475.0,2.0,2.0,10.0
2525.0,2.0,2.0,10.0
2575.0,2.0,2.0,10.0
2625.0,2.0,2.0,10.0
2675.0,2.0,2.0,10.0
2725.0,2.0,2.0,10.0
2775.0,6.0,6.0,6.0
2825.0,8.0,8.0,4.0
2875.0,8.0,8.0,4.0
2925.0,8.0,8.0,4.0
2975.0,8.0,8.0,4.0
3025.0,2.0,2.0,10.0
3075.0,2.0,2.0,8.0
3125.0,2.0,2.0,3.92
3175.0,0.0,0.0,5.92
3225.0,0.0,0.0,5.92
3275.0,0.0,0.0,5.92
3325.0,0.0,0.0,5.92
3375.0,0.0,0.0,5.92
3425.0,0.0,0.0,5.92
3475.0,0.0,0.0,5.92
3525.0,0.0,0.0,5.92
3575.0,0.0,0.0,5.92
3625.0,0.0,0.0,5.92
3675.0,0.0,0.0,5.92
3725.0,0.0,0.0,5.92
3775.0,0.0,0.0,5.92
3825.0,0.0,0.0,5.92
3875.0,0.0,0.0,5.92
3925.0,0.0,0.0,5.92
3975.0,0.0,0.0,5.92
4025.0,0.0,0.0,5.92
4075.0,0.0,0.0,5.92
4125.0,0.0,0.0,5.92
4175.0,0.0,0.0,5.92
4225.0,0.0,0.0,5.92
4275.0,0.0,0.0,5.92
4325.0,0.0,0.0,5.92
4375.0,0.0,0.0,5.92
4425.0,0.0,0.0,5.92
4475.0,0.0,0.0,5.92
4525.0,0.0,0.0,5.92
4575.0,0.0,0.0,5.92
4625.0,0.0,0.0,5.92
4675.0,0.0,0.0,5.92
4725.0,0.0,0.0,5.92
4775.0,0.0,0.0,5.92
4825.0,0.0,0.0,5.92
4875.0,0.0,0.0,5.92
4925.0,0.0,0.0,5.92
4975.0,0.0,0.0,5.92
5025.0,0.0,0.0,5.92
5075.0,0.0,0.0,5.92
5125.0,0.0,0.0,5.92
5175.0,0.0,0.0,5.92
5225.0,0.0,0.0,4.0
5275.0,0.0,0.0,4.0
5325.0,0.0,0.0,4.0
5375.0,0.0,0.0,4.0
5425.0,0.0,0.0,4.0
5475.0,0.0,0.0,4.0
5525.0,0.0,0.0,4.0
5575.0,0.0,0.0,4.0
5625.0,0.0,0.0,4.0
5675.0,0.0,0.0,5.92
5725.0,0.0,0.0,5.92
5775.0,0.0,0.0,5.92
5825.0,0.0,0.0,4.0
5875.0,0.0,0.0,4.0
5925.0,0.0,0.0,4.0
5975.0,0.0,0.0,4.0
6025.0,0.0,0.0,4.0
6075.0,0.0,0.0,4.0
6125.0,0.0,0.0,4.0
6175.0,0.0,0.0,4.0
6225.0,0.0,0.0,4.0
6275.0,0.0,0.0,4.0
6325.0,0.0,0.0,4.0
6375.0,0.0,0.0,4.0
6425.0,0.0,0.0,4.0
6475.0,0.0,0.0,4.0
6525.0,0.0,0.0,4.0
6575.0,0.0,0.0,4.0
6625.0,0.0,0.0,5.92
6675.0,0.0,0.0,5.92
6725.0,0.0,0.0,5.92
6775.0,0.0,0.0,5.92
6825.0,0.0,0.0,5.92
6875.0,0.0,0.0,5.92
6925.0,0.0,0.0,5.92
6975.0,0.0,0.0,5.92
7025.0,0.0,0.0,5.92
7075.0,0.0,0.0,5.92
7125.0,0.0,0.0,5.92
7175.0,0.0,0.0,5.92
7225.0,0.0,0.0,5.92
7275.0,0.0,0.0,5.92
7325.0,2.0,2.0,6.0
7375.0,6.0,5.92,2.0
7425.0,6.0,5.92,2.0
7475.0,6.0,5.92,2.0
7525.0,6.0,5.92,2.0
7575.0,4.0,3.92,4.0
7625.0,4.0,4.0,4.0
7675.0,4.0,4.0,4.0
7725.0,4.0,4.0,4.0
7775.0,4.0,4.0,4.0
7825.0,4.0,4.0,4.0
7875.0,4.0,4.0,4.0
7925.0,4.0,4.0,4.0
7975.0,4.0,4.0,3.92
8025.0,4.0,4.0,3.92
8075.0,2.0,2.0,5.92
8125.0,2.0,2.0,5.92
8175.0,2.0,2.0,6.0
8225.0,2.0,2.0,6.0
8275.0,2.0,2.0,6.0
8325.0,2.0,2.0,4.0
8375.0,2.0,2.0,8.0
8425.0,2.0,2.0,8.0
8475.0,2.0,2.0,8.0
8525.0,2.0,2.0,8.0
8575.0,2.0,2.0,8.0
8625.0,2.0,2.0,8.0
8675.0,2.0,2.0,8.0
8725.0,2.0,2.0,8.0
8775.0,2.0,2.0,8.0
8825.0,2.0,2.0,8.0
8875.0,2.0,2.0,8.0
8925.0,2.0,2.0,8.0
8975.0,2.0,2.0,8.0
9025.0,2.0,2.0,8.0
9075.0,2.0,2.0,8.0
9125.0,2.0,2.0,9.84
9175.0,2.0,2.0,9.84
9225.0,2.0,2.0,9.84
9275.0,2.0,2.0,9.84
9325.0,2.0,2.0,9.84
9375.0,2.0,2.0,9.84
9425.0,2.0,2.0,9.84
9475.0,2.0,2.0,9.84
9525.0,2.0,2.0,9.84
9575.0,2.0,2.0,9.84
9625.0,2.0,2.0,9.84
9675.0,2.0,2.0,9.84
9725.0,2.0,2.0,9.84
9775.0,2.0,2.0,9.84
9825.0,2.0,2.0,9.84
9875.0,2.0,2.0,9.84
9925.0,2.0,2.0,5.92
9975.0,2.0,2.0,5.92
